Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
D,F,F,C,F,B,C,I'm passionate about lawyer,Law
C,E,C,A,E,A,F,"Good at Communication, want to be a Judge",Law
C,D,F,B,F,A,F,I want to improve my skills in Ethics,Law
B,E,E,C,D,B,E,I want to study Law,Law
D,F,C,C,C,C,F,"Good at Ethics, want to be a Legal Researcher",Law
C,C,D,C,D,A,B,I want to apply my Negotiation skills in the field of Law,Law
B,C,D,B,D,A,F,My goal is to become a Family Lawyer,Law
C,C,E,B,E,C,B,My goal is to become a Legal Researcher,Law
E,B,F,E,C,A,A,Helping with Negotiation in Law,Law
C,E,D,C,D,A,B,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
C,F,F,C,E,A,F,How can I study Law?,Law
B,A,A,B,A,A,B,Is Law a good major?,Law
D,C,A,C,C,B,D,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
E,D,D,B,F,A,E,Researching Law opportunities,Law
B,A,A,A,A,A,C,I am interested in Law,Law
C,D,F,B,F,E,D,Helping with Ethics in Law,Law
C,C,B,D,B,A,C,I am looking for a career in Family Lawyer,Law
C,C,E,C,D,B,B,"Good at Negotiation, want to be a Prosecutor",Law
D,A,C,B,A,A,A,Interested in Law and environmental law,Law
A,C,F,C,B,B,B,Is Law a good major?,Law
C,F,B,C,F,C,F,I am interested in Law,Law
A,F,D,A,C,D,E,Law seems like a good fit for me,Law
B,D,C,C,D,B,F,I want to apply my Ethics skills in the field of Law,Law
B,B,A,A,B,A,E,Interested in Law and law,Law
E,D,E,C,E,A,D,I want to study Law,Law
C,A,A,D,A,A,C,I am interested in Law,Law
B,D,B,B,C,B,B,I want to study Law,Law
B,C,A,B,C,A,D,Law seems like a good fit for me,Law
C,F,C,B,C,A,F,Legal Advisor career path,Law
D,C,A,C,E,A,D,Law seems like a good fit for me,Law
B,B,D,A,B,A,C,I want to study Law,Law
A,F,D,A,C,D,E,Interested in Law and legal,Law
E,E,F,D,E,B,A,Interested in Law and family law,Law
C,B,A,B,B,A,A,How can I study Law?,Law
A,B,A,A,B,B,C,Law seems like a good fit for me,Law
B,B,E,B,E,C,F,Law seems like a good fit for me,Law
B,B,C,B,D,B,A,Study Law,Law
C,C,B,D,D,A,C,I want to work with law,Law
B,C,A,C,B,A,A,Study Law,Law
C,D,C,B,B,C,E,My goal is to become a Family Lawyer,Law
B,F,C,B,C,C,D,Researching Law opportunities,Law
D,F,E,C,F,E,C,I'm passionate about attorney,Law
C,E,D,D,F,C,C,I want to apply my Ethics skills in the field of Law,Law
A,A,A,B,A,A,C,I'm passionate about legal degree,Law
B,F,F,D,F,B,A,I am interested in Law,Law
A,F,D,C,D,A,B,I'm passionate about attorney,Law
D,F,F,C,E,D,F,litigation criminal defense justice,Law
B,A,B,B,B,A,D,Is Law a good major?,Law
A,B,A,B,B,A,F,Interested in Law and history,Law
B,A,B,A,A,A,B,I want to apply my Negotiation skills in the field of Law,Law
C,F,F,C,F,C,F,How can I study Law?,Law
C,E,F,D,C,B,A,I want to study Law,Law
D,B,D,B,C,B,E,Focusing on Ethics and Critical Thinking,Law
B,C,A,B,B,A,E,Focusing on Critical Thinking and Writing,Law
D,B,A,B,A,A,B,Law,Law
D,C,D,D,F,A,A,I am interested in Law,Law
A,B,B,A,A,A,B,Lawyer career path,Law
D,C,A,C,E,A,D,I love rights,Law
C,B,B,D,A,A,B,Study Law,Law
F,F,D,E,F,C,C,debating justice intellectual property,Law
B,C,B,B,D,A,E,Law seems like a good fit for me,Law
D,F,E,D,F,C,B,Law,Law
B,F,F,C,F,B,F,legal profession rights legal,Law
B,C,C,B,B,A,F,Lawyer career path,Law
C,B,C,C,B,A,B,"Good at Research Skills, want to be a Prosecutor",Law
B,D,B,D,D,B,A,"jurisprudence, immigration law",Law
B,E,C,B,C,B,D,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
B,B,A,A,A,A,A,I'm passionate about law,Law
B,F,C,C,F,C,D,Law seems like a good fit for me,Law
C,C,E,C,B,B,F,Interested in Law and justice,Law
C,B,C,C,D,A,A,Law seems like a good fit for me,Law
D,E,D,E,E,A,B,criminal law debating english,Law
A,A,E,A,B,A,A,Law seems like a good fit for me,Law
E,D,B,B,B,A,C,I'm passionate about legal research,Law
C,E,D,D,F,C,C,My goal is to become a Intellectual Property Lawyer,Law
B,B,C,B,B,A,C,How can I study Law?,Law
B,A,A,D,A,A,A,"Good at Negotiation, want to be a Family Lawyer",Law
B,F,F,D,F,B,A,Is Law a good major?,Law
C,C,F,E,F,C,B,My goal is to become a Corporate Counsel,Law
C,B,B,D,C,A,B,"Good at Communication, want to be a Family Lawyer",Law
B,C,A,A,C,A,A,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
B,B,B,B,D,A,D,I enjoy arguing and Writing,Law
B,E,E,B,C,B,C,How can I study Law?,Law
A,F,D,C,F,C,E,Focusing on Writing and Ethics,Law
D,F,D,C,E,C,C,Researching Law opportunities,Law
C,C,F,B,A,A,B,arguing constitutional litigation,Law
B,B,C,B,D,B,A,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
C,A,A,B,A,A,B,Lawyer career path,Law
B,A,A,A,A,A,A,Interested in Law and criminal law,Law
B,C,C,A,F,B,B,I'm passionate about arguing,Law
C,D,E,E,F,C,A,I want to apply my Negotiation skills in the field of Law,Law
A,A,A,C,A,A,A,How can I study Law?,Law
C,B,C,C,B,A,C,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
A,A,C,C,B,A,D,Researching Law opportunities,Law
B,E,F,C,F,B,A,"Good at Communication, want to be a Public Defender",Law
B,B,C,B,D,B,A,"Good at Ethics, want to be a Intellectual Property Lawyer",Law
C,C,D,C,D,A,B,I want to work with jurisprudence,Law
D,D,C,E,C,A,C,How can I study Law?,Law
D,C,E,B,C,B,E,I want to apply my Critical Thinking skills in the field of Law,Law
B,A,A,D,A,A,A,I love criminal defense,Law
C,F,E,C,E,B,C,Researching Law opportunities,Law
B,E,E,B,C,B,C,I'm passionate about criminal law,Law
C,F,B,C,F,E,D,I am looking for a career in Lawyer,Law
C,A,B,B,B,B,C,lawyer english history,Law
C,C,E,B,F,A,F,I want to work with legal profession,Law
A,E,D,C,E,A,F,My goal is to become a Criminal Defense Attorney,Law
A,A,D,C,B,A,E,court legal practice criminal law,Law
B,A,B,A,A,A,B,I love logic,Law
B,E,F,D,E,A,A,I want to work with family law,Law
A,C,C,B,E,B,E,I'm passionate about logic,Law
B,C,C,B,E,A,F,Focusing on Ethics and Critical Thinking,Law
D,B,A,B,B,A,F,Is Law a good major?,Law
E,B,A,C,B,A,C,I love court,Law
F,D,F,D,F,D,B,contract law family law legal research,Law
D,D,F,C,D,B,F,"Good at Ethics, want to be a Family Lawyer",Law
D,B,C,D,C,D,A,Judge career path,Law
D,F,D,A,F,D,D,I'm passionate about rights,Law
C,F,E,D,C,A,C,Helping with Ethics in Law,Law
A,D,E,C,E,C,E,Researching Law opportunities,Law
B,A,D,B,A,A,E,I want to apply my Research Skills skills in the field of Law,Law
B,C,B,D,B,A,C,How can I study Law?,Law
B,F,B,B,F,B,F,Interested in Law and constitutional,Law
B,C,D,C,C,B,B,international law jurisprudence intellectual property,Law
B,A,A,B,A,A,B,Interested in Law and contract law,Law
C,E,F,C,F,C,F,I want to improve my skills in Communication,Law
B,A,C,C,C,A,D,Judge career path,Law
B,B,C,B,C,A,D,Law,Law
B,D,D,A,D,D,B,I'm passionate about legal profession,Law
B,C,B,B,D,A,E,Helping with Communication in Law,Law
B,A,B,A,A,A,B,I want to apply my Communication skills in the field of Law,Law
A,A,B,B,C,B,A,My goal is to become a Public Defender,Law
C,E,E,D,D,D,C,Study Law,Law
C,D,A,B,B,A,D,I am interested in Law,Law
C,D,D,C,D,A,E,How can I study Law?,Law
B,B,A,A,D,A,B,I want to study Law,Law
A,C,B,C,B,A,C,I'm passionate about debating,Law
E,F,F,E,F,E,C,"court, logic",Law
B,A,D,B,B,A,A,I enjoy advocate and Critical Thinking,Law
C,F,E,C,E,B,C,I love rules,Law
C,D,B,E,D,C,B,Helping with Critical Thinking in Law,Law
C,C,D,D,E,A,C,How can I study Law?,Law
E,E,F,E,F,C,B,I want to work with advocate,Law
A,A,D,C,B,A,E,I want to study Law,Law
C,E,C,C,E,B,D,Focusing on Communication and Negotiation,Law
B,B,B,B,D,A,D,I enjoy logic and Communication,Law
D,D,F,E,B,B,B,"Good at Negotiation, want to be a Corporate Counsel",Law
B,B,B,B,A,A,F,How can I study Law?,Law
D,B,B,B,A,B,C,I'm passionate about legal aid,Law
C,B,F,D,E,A,B,I want to work with environmental law,Law
C,C,A,B,C,C,C,Family Lawyer career path,Law
A,B,B,C,B,A,F,"Good at Communication, want to be a Environmental Lawyer",Law
B,C,C,C,A,A,D,My goal is to become a Legal Consultant,Law
C,B,D,B,C,A,B,"Learning more about Study of legal systems, jurisprudence, and legal practice...",Law
C,B,B,B,E,A,C,Law seems like a good fit for me,Law
C,D,C,B,B,C,E,Focusing on Ethics and Writing,Law
B,A,B,C,B,A,C,I want to improve my skills in Ethics,Law
D,F,E,E,D,B,B,Intellectual Property Lawyer career path,Law
A,A,A,A,A,A,B,I want to apply my Writing skills in the field of Law,Law
C,D,C,A,C,A,C,Researching Law opportunities,Law
C,D,D,C,C,D,C,I want to study Law,Law
C,D,D,C,C,D,C,How can I study Law?,Law
C,A,A,A,B,A,B,I want to apply my Critical Thinking skills in the field of Law,Law
C,B,A,A,B,A,C,I'm passionate about advocate,Law
D,D,F,E,B,B,B,I want to study Law,Law
C,E,C,B,C,A,C,I want to study Law,Law
C,E,E,B,F,D,F,criminal law legal advice justice,Law
C,E,E,D,D,D,C,I want to work with jurisprudence,Law
A,A,A,B,A,A,C,Focusing on Negotiation and Ethics,Law
C,F,B,C,E,C,C,"legal profession, contract law",Law
D,D,F,D,C,B,B,Interested in Law and international law,Law
D,F,D,C,F,F,E,I love arguing,Law
C,B,B,D,A,A,B,How can I study Law?,Law
A,A,B,C,C,A,A,Helping with Critical Thinking in Law,Law
D,A,B,B,B,A,C,I want to work with rights,Law
C,E,E,B,D,A,E,environmental law human rights law legal profession,Law
C,F,F,C,E,A,F,Judge career path,Law
C,C,E,C,D,B,A,I want to apply my Ethics skills in the field of Law,Law
D,F,C,C,C,C,F,Study Pharmacy,Pharmacy
C,B,B,B,D,A,B,Is Pharmacy a good major?,Pharmacy
D,A,C,F,E,D,E,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,A,A,E,A,D,"clinical pharmacy, medical drugs",Pharmacy
B,F,B,B,C,A,C,I want to work with pharmaceutical chemistry,Pharmacy
B,D,A,B,C,A,A,Study Pharmacy,Pharmacy
B,D,B,B,C,B,B,Helping with Chemistry in Pharmacy,Pharmacy
A,B,B,B,C,A,B,Is Pharmacy a good major?,Pharmacy
C,D,C,E,B,A,A,Pharmaceutical Sales Representative career path,Pharmacy
D,E,B,D,C,B,E,I enjoy medical drugs and Chemistry,Pharmacy
C,A,B,B,C,A,C,Pharmacy seems like a good fit for me,Pharmacy
A,B,B,B,C,A,B,I am looking for a career in Pharmaceutical Analyst,Pharmacy
C,B,C,A,C,A,A,Interested in Pharmacy and medication,Pharmacy
B,B,B,B,B,A,B,How can I study Pharmacy?,Pharmacy
A,E,A,B,C,A,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,C,A,C,C,B,D,"chemists, bio",Pharmacy
C,B,B,C,C,A,B,"Good at Attention to Detail, want to be a Pharmacist",Pharmacy
C,B,B,D,A,A,B,Pharmacy,Pharmacy
A,A,B,B,C,B,A,Helping with Chemistry in Pharmacy,Pharmacy
B,C,C,C,F,A,D,Pharmacy,Pharmacy
C,B,B,C,C,A,B,I want to improve my skills in Regulations,Pharmacy
B,D,A,C,B,A,C,I want to apply my Attention to Detail skills in the field of Pharmacy,Pharmacy
B,B,A,A,F,A,B,I want to work with medication,Pharmacy
A,A,A,B,B,A,C,I want to work with prescription,Pharmacy
B,A,A,B,A,A,B,I want to work with pharmacy practice,Pharmacy
C,B,C,B,A,B,D,Focusing on Biology and Communication,Pharmacy
C,D,B,B,C,B,C,Pharmacy seems like a good fit for me,Pharmacy
C,C,B,D,D,A,C,I want to improve my skills in Attention to Detail,Pharmacy
C,B,A,D,C,A,D,Helping with Communication in Pharmacy,Pharmacy
C,E,C,D,B,A,B,Helping with Communication in Pharmacy,Pharmacy
A,A,C,B,B,B,C,I want to study Pharmacy,Pharmacy
A,A,A,A,B,A,B,I want to apply my Attention to Detail skills in the field of Pharmacy,Pharmacy
C,C,C,C,E,B,F,How can I study Pharmacy?,Pharmacy
B,B,A,B,A,A,C,Interested in Pharmacy and chemists,Pharmacy
B,C,C,B,E,A,F,pharmaceutical manufacturing pharmacist chemists,Pharmacy
C,B,A,A,D,A,D,Clinical Pharmacist career path,Pharmacy
C,C,F,A,B,A,B,Is Pharmacy a good major?,Pharmacy
B,A,B,D,C,B,F,I am looking for a career in Pharmaceutical Analyst,Pharmacy
A,D,C,C,C,A,E,I want to improve my skills in Regulations,Pharmacy
C,A,C,B,C,A,B,I want to improve my skills in Biology,Pharmacy
B,A,A,A,A,A,A,Pharmacy seems like a good fit for me,Pharmacy
C,A,A,A,B,A,B,I love chemists,Pharmacy
B,B,C,B,D,B,A,I enjoy medication and Chemistry,Pharmacy
C,B,B,D,A,A,B,My goal is to become a Pharmaceutical Regulatory Affairs Specialist,Pharmacy
C,B,C,D,A,B,E,I want to improve my skills in Communication,Pharmacy
A,E,C,C,B,B,D,Is Pharmacy a good major?,Pharmacy
B,B,A,B,A,A,C,How can I study Pharmacy?,Pharmacy
B,A,A,A,C,A,C,I love pharmacology,Pharmacy
B,C,A,A,A,A,B,"dosage, pharmacist",Pharmacy
A,A,B,C,C,A,A,Researching Pharmacy opportunities,Pharmacy
B,A,B,A,A,A,B,How can I study Pharmacy?,Pharmacy
E,B,A,C,B,A,C,How can I study Pharmacy?,Pharmacy
B,C,F,A,B,A,F,I enjoy dosage and Communication,Pharmacy
A,B,A,D,B,A,A,Is Pharmacy a good major?,Pharmacy
C,A,A,A,B,A,B,I love prescription,Pharmacy
B,D,B,B,C,A,C,Is Pharmacy a good major?,Pharmacy
A,A,A,B,A,A,C,I want to improve my skills in Mathematics,Pharmacy
B,A,A,A,A,A,C,Study Pharmacy,Pharmacy
B,C,C,B,B,A,F,I am interested in Pharmacy,Pharmacy
B,A,B,A,A,A,A,I want to study Pharmacy,Pharmacy
B,C,B,B,E,A,D,I want to study Pharmacy,Pharmacy
B,B,B,C,C,A,F,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
C,C,B,B,A,A,A,Researching Pharmacy opportunities,Pharmacy
B,A,A,A,A,A,C,How can I study Pharmacy?,Pharmacy
D,D,B,D,C,B,E,Pharmacist career path,Pharmacy
D,B,A,E,D,B,B,Is Pharmacy a good major?,Pharmacy
B,B,A,A,A,A,A,Helping with Mathematics in Pharmacy,Pharmacy
C,C,A,B,E,A,C,Study Pharmacy,Pharmacy
D,B,B,E,B,A,A,Is Pharmacy a good major?,Pharmacy
D,C,B,C,B,A,A,I want to apply my Attention to Detail skills in the field of Pharmacy,Pharmacy
B,C,A,F,B,A,A,I want to study Pharmacy,Pharmacy
C,D,A,D,B,A,F,I enjoy chemists and Biology,Pharmacy
B,A,A,B,A,A,A,I want to improve my skills in Communication,Pharmacy
C,B,F,B,B,B,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,B,C,A,B,A,A,I love medical drugs,Pharmacy
C,B,B,D,A,A,B,Pharmacy,Pharmacy
B,C,C,B,B,A,F,pharmacology pharmaceutical pharmaceutical chemistry,Pharmacy
C,A,A,C,B,A,B,I'm passionate about medication,Pharmacy
B,B,A,A,B,A,E,I want to study Pharmacy,Pharmacy
B,C,D,C,C,B,B,Interested in Pharmacy and pharmacist,Pharmacy
D,A,C,F,E,D,E,Pharmaceutical Marketing Manager career path,Pharmacy
B,B,A,B,B,A,E,I am interested in Pharmacy,Pharmacy
B,A,B,D,C,B,F,Focusing on Chemistry and Regulations,Pharmacy
E,D,C,D,C,A,B,medication pharmaceutical manufacturing clinical pharmacy,Pharmacy
B,D,A,B,B,A,D,"Good at Regulations, want to be a Pharmaceutical Researcher",Pharmacy
C,B,C,C,D,B,D,Interested in Pharmacy and pharmacology,Pharmacy
D,A,B,B,B,A,C,pharmacology pharmaceutical manufacturing prescription,Pharmacy
B,C,D,D,C,A,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,A,A,C,C,A,B,Helping with Mathematics in Pharmacy,Pharmacy
C,C,C,C,C,A,E,My goal is to become a Pharmaceutical Marketing Manager,Pharmacy
E,C,D,D,B,A,E,I enjoy biology and Communication,Pharmacy
B,B,A,B,A,A,C,I enjoy biology and Communication,Pharmacy
D,A,D,A,B,A,B,I want to work with pharmacy practice,Pharmacy
B,C,A,B,C,C,B,Pharmacy seems like a good fit for me,Pharmacy
B,D,A,B,B,A,D,I enjoy pharmaceutical technology and Regulations,Pharmacy
B,D,B,B,C,A,B,"Good at Chemistry, want to be a Pharmaceutical Sales Representative",Pharmacy
C,F,B,C,B,A,D,I love chemists,Pharmacy
C,B,D,C,C,A,C,I want to improve my skills in Mathematics,Pharmacy
D,A,D,A,B,A,B,I'm passionate about pharmacy,Pharmacy
C,D,A,B,B,A,D,I want to improve my skills in Mathematics,Pharmacy
B,C,D,D,C,B,C,Focusing on Biology and Attention to Detail,Pharmacy
E,C,C,B,B,A,E,Study Pharmacy,Pharmacy
B,B,B,B,D,A,E,Study Pharmacy,Pharmacy
C,B,B,C,B,A,B,Is Pharmacy a good major?,Pharmacy
B,B,A,B,A,A,C,"Good at Chemistry, want to be a Pharmaceutical Researcher",Pharmacy
B,C,B,B,C,B,F,Helping with Attention to Detail in Pharmacy,Pharmacy
C,A,A,A,A,A,A,I want to study Pharmacy,Pharmacy
B,C,D,B,C,B,C,I enjoy bio and Regulations,Pharmacy
C,B,A,C,C,B,C,Researching Pharmacy opportunities,Pharmacy
B,A,A,B,A,A,A,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
C,A,F,D,C,A,C,Study Pharmacy,Pharmacy
B,A,A,A,A,A,B,Pharmaceutical Consultant career path,Pharmacy
C,C,C,C,B,A,B,I enjoy prescription and Communication,Pharmacy
A,A,A,B,A,A,C,I want to study Pharmacy,Pharmacy
B,C,E,C,C,C,E,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
A,A,A,B,A,A,A,I want to study Pharmacy,Pharmacy
D,C,E,B,C,A,B,Pharmacy,Pharmacy
C,C,B,B,B,A,B,I want to improve my skills in Communication,Pharmacy
A,A,A,A,B,A,A,Helping with Communication in Pharmacy,Pharmacy
E,A,B,B,A,A,C,I am looking for a career in Pharmaceutical Regulatory Affairs Specialist,Pharmacy
B,A,A,B,B,B,B,I want to work with prescription,Pharmacy
A,C,B,C,C,A,D,I want to apply my Attention to Detail skills in the field of Pharmacy,Pharmacy
C,B,A,C,E,A,C,Researching Pharmacy opportunities,Pharmacy
C,C,C,C,C,A,E,Helping with Mathematics in Pharmacy,Pharmacy
A,B,F,B,C,A,B,I enjoy pharmacy and Communication,Pharmacy
C,F,B,E,C,B,F,Researching Pharmacy opportunities,Pharmacy
B,D,C,D,A,A,B,Focusing on Mathematics and Communication,Pharmacy
D,C,F,A,C,B,B,I love pharmaceutical chemistry,Pharmacy
C,C,C,B,D,A,F,I want to work with pharmacy practice,Pharmacy
B,B,B,B,B,A,B,I want to improve my skills in Mathematics,Pharmacy
C,D,C,E,B,A,A,Pharmacy seems like a good fit for me,Pharmacy
B,E,C,B,C,B,D,Researching Pharmacy opportunities,Pharmacy
B,A,B,B,B,C,E,Helping with Attention to Detail in Pharmacy,Pharmacy
C,D,A,B,C,A,A,How can I study Pharmacy?,Pharmacy
C,B,A,A,B,A,A,Focusing on Communication and Biology,Pharmacy
C,C,D,C,B,A,B,dispensing math drugs,Pharmacy
B,A,B,C,B,A,C,My goal is to become a Pharmaceutical Regulatory Affairs Specialist,Pharmacy
C,C,C,B,F,C,E,I want to improve my skills in Mathematics,Pharmacy
A,B,E,B,B,B,B,drugs pharmaceutical technology math,Pharmacy
A,A,C,C,B,A,D,My goal is to become a Pharmaceutical Researcher,Pharmacy
E,C,D,D,B,A,E,I love pharmaceutical chemistry,Pharmacy
B,E,B,C,C,A,D,I enjoy pharmacology and Mathematics,Pharmacy
A,C,C,B,F,B,F,Interested in Pharmacy and drugs,Pharmacy
B,B,A,C,A,A,E,I want to study Pharmacy,Pharmacy
B,C,B,B,C,A,D,"Good at Regulations, want to be a Pharmaceutical Sales Representative",Pharmacy
A,B,C,B,C,A,B,math bio clinical pharmacy,Pharmacy
B,B,B,B,D,A,E,I'm passionate about prescription,Pharmacy
B,C,A,A,A,A,B,"chemistry, pharmacy",Pharmacy
A,A,C,C,C,C,E,I am looking for a career in Pharmaceutical Regulatory Affairs Specialist,Pharmacy
B,A,A,B,B,A,B,"clinical pharmacy, pharmacist",Pharmacy
A,A,A,B,A,A,C,How can I study Pharmacy?,Pharmacy
A,A,A,B,A,A,C,Focusing on Communication and Regulations,Pharmacy
A,A,A,C,A,A,A,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
B,B,A,C,B,A,C,Study Pharmacy,Pharmacy
C,A,B,B,B,B,C,I love pharmacology,Pharmacy
D,B,A,E,D,B,B,I enjoy pharmacy practice and Attention to Detail,Pharmacy
B,A,A,A,A,A,B,Pharmacy,Pharmacy
D,A,A,C,B,A,B,pharmacy drugs dosage,Pharmacy
A,C,A,C,C,A,C,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
C,B,A,A,B,A,C,Pharmaceutical Quality Assurance Manager career path,Pharmacy
B,F,B,B,C,A,C,Pharmaceutical Quality Assurance Manager career path,Pharmacy
C,B,A,C,A,A,A,I want to study Pharmacy,Pharmacy
B,A,A,B,A,A,A,Interested in Pharmacy and pharmaceutical chemistry,Pharmacy
E,A,B,B,A,A,C,I am interested in Pharmacy,Pharmacy
B,C,D,B,C,B,A,How can I study Pharmacy?,Pharmacy
A,A,A,C,A,A,A,My goal is to become a Pharmaceutical Manufacturing Manager,Pharmacy
D,C,F,D,C,B,C,I'm passionate about pharmaceutical,Pharmacy
C,C,C,C,E,A,C,Pharmacy seems like a good fit for me,Pharmacy
C,A,B,A,A,A,D,I'm passionate about drugs,Pharmacy
B,C,B,C,A,A,F,I want to apply my Mathematics skills in the field of Pharmacy,Pharmacy
A,A,A,C,B,A,D,I want to study Pharmacy,Pharmacy
A,D,C,C,B,B,D,pharmacist medical drugs dispensing,Pharmacy
B,A,D,B,A,A,C,How can I study Pharmacy?,Pharmacy
C,C,C,E,F,C,C,I want to improve my skills in Attention to Detail,Pharmacy
A,A,A,A,C,A,D,Researching Pharmacy opportunities,Pharmacy
C,B,A,B,A,A,B,Researching Pharmacy opportunities,Pharmacy
C,A,A,D,A,A,D,Clinical Pharmacist career path,Pharmacy
B,B,C,C,D,A,B,Focusing on Attention to Detail and Mathematics,Pharmacy
B,D,B,E,C,C,B,"Good at Attention to Detail, want to be a Pharmaceutical Manufacturing Manager",Pharmacy
A,B,B,C,B,A,F,How can I study Pharmacy?,Pharmacy
C,B,C,B,B,A,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
A,C,F,C,B,B,B,How can I study Pharmacy?,Pharmacy
E,D,B,B,B,A,C,I'm passionate about pharmaceutical technology,Pharmacy
B,B,B,A,B,A,D,Is Pharmacy a good major?,Pharmacy
A,B,C,D,C,A,B,I am interested in Pharmacy,Pharmacy
B,A,D,B,A,A,E,"dispensing, clinical pharmacy",Pharmacy
A,A,E,A,B,A,A,Pharmaceutical Researcher career path,Pharmacy
D,C,A,C,C,B,D,I enjoy pharmacist and Communication,Pharmacy
A,B,A,A,B,B,C,Interested in Pharmacy and pharmaceutical,Pharmacy
B,D,C,D,C,C,E,Pharmacy seems like a good fit for me,Pharmacy
C,B,B,E,E,B,B,I am looking for a career in Clinical Pharmacist,Pharmacy
C,E,C,B,C,A,C,Pharmacy seems like a good fit for me,Pharmacy
A,B,A,A,B,B,C,biology drugs chemistry,Pharmacy
C,D,C,B,B,C,E,I want to study Pharmacy,Pharmacy
B,A,A,B,A,A,A,I want to study Pharmacy,Pharmacy
D,F,C,A,C,C,C,I want to work with clinical pharmacy,Pharmacy
D,C,F,D,C,B,C,Interested in Pharmacy and pharmaceutical manufacturing,Pharmacy
A,A,A,B,A,A,A,I love pharmaceutical chemistry,Pharmacy
B,B,D,D,B,B,D,Pharmaceutical Marketing Manager career path,Pharmacy
C,A,B,B,A,A,D,I enjoy biology and Chemistry,Pharmacy
A,A,A,A,A,A,A,Helping with Attention to Detail in Pharmacy,Pharmacy
B,C,B,D,B,A,C,I want to work with pharmaceutical technology,Pharmacy
B,C,A,A,A,A,B,Focusing on Regulations and Biology,Pharmacy
B,A,A,B,A,A,B,Interested in Pharmacy and dispensing,Pharmacy
A,A,B,C,C,A,D,I want to work with pharmaceutical,Pharmacy
B,A,A,B,A,A,B,I want to study Pharmacy,Pharmacy
D,C,A,C,C,B,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,A,C,A,A,B,I want to work with pharmaceutical manufacturing,Pharmacy
D,A,C,D,C,A,B,Focusing on Regulations and Attention to Detail,Pharmacy
B,C,A,C,B,A,C,Pharmacy seems like a good fit for me,Pharmacy
C,C,C,B,F,C,E,Pharmaceutical Analyst career path,Pharmacy
A,B,B,C,B,B,F,My goal is to become a Clinical Pharmacist,Pharmacy
C,C,A,C,B,A,B,I want to improve my skills in Attention to Detail,Pharmacy
D,A,B,B,B,A,C,Researching Pharmacy opportunities,Pharmacy
B,A,C,C,B,A,C,I want to work with chemists,Pharmacy
B,A,A,B,A,A,A,My goal is to become a Pharmaceutical Consultant,Pharmacy
C,A,A,B,A,A,B,How can I study Pharmacy?,Pharmacy
B,A,B,B,A,A,B,I want to study Pharmacy,Pharmacy
A,B,C,B,C,A,B,I enjoy clinical pharmacy and Attention to Detail,Pharmacy
B,C,B,B,A,A,D,I want to study Pharmacy,Pharmacy
B,B,A,C,A,B,C,I am looking for a career in Clinical Pharmacist,Pharmacy
B,A,B,B,C,A,D,I want to improve my skills in Mathematics,Pharmacy
B,A,A,B,A,A,C,Researching Pharmacy opportunities,Pharmacy
C,A,A,B,A,A,A,"Good at Communication, want to be a Pharmaceutical Marketing Manager",Pharmacy
A,C,B,E,C,A,C,I want to study Pharmacy,Pharmacy
B,C,D,C,C,B,B,I am interested in Pharmacy,Pharmacy
C,A,B,A,A,A,B,"Good at Regulations, want to be a Pharmaceutical Quality Assurance Manager",Pharmacy
B,A,B,B,C,A,D,I'm passionate about pharmacy,Pharmacy
C,B,C,B,A,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,E,C,C,D,F,I am interested in Pharmacy,Pharmacy
B,A,A,A,A,A,C,I enjoy pharmacy practice and Attention to Detail,Pharmacy
A,A,A,B,A,A,C,My goal is to become a Pharmaceutical Manufacturing Manager,Pharmacy
C,C,A,C,B,A,F,Is Pharmacy a good major?,Pharmacy
C,B,B,B,E,D,C,"Good at Biology, want to be a Pharmaceutical Sales Representative",Pharmacy
C,C,C,B,D,A,F,I enjoy bio and Attention to Detail,Pharmacy
A,A,D,C,B,A,E,I love pharmaceutical,Pharmacy
B,B,D,D,B,B,D,I want to apply my Biology skills in the field of Pharmacy,Pharmacy
C,C,C,E,B,A,B,I enjoy pharmaceutical chemistry and Attention to Detail,Pharmacy
B,A,D,B,A,A,E,I want to study Pharmacy,Pharmacy
